,Date_Time,E,I,D,H,Avg,Std,Avg_w,Std_w
1680,2018-07-06 00:00:00,2.739103333333333,0,4,0,5.3557999999999995,0.7976000000000001,2.9466566666666663,0.20755333333333326
1681,2018-07-06 00:30:00,2.5138433333333334,1,4,0,5.631399999999999,0.4601000000000002,2.626473333333333,0.11262999999999979
1682,2018-07-06 01:00:00,2.5331699999999997,2,4,0,4.4601999999999995,0.7987999999999997,2.5235066666666666,0.009663333333333135
1683,2018-07-06 01:30:00,2.6218566666666665,3,4,0,4.328749999999999,0.9284499999999996,2.577513333333333,0.0443433333333334
1684,2018-07-06 02:00:00,2.4668566666666667,4,4,0,4.45775,0.8147499999999999,2.5443566666666664,0.0774999999999999
1685,2018-07-06 02:30:00,2.59761,5,4,0,5.2341999999999995,0.9287000000000001,2.532233333333333,0.06537666666666664
1686,2018-07-06 03:00:00,2.565816666666667,6,4,0,5.086499999999999,0.9514999999999998,2.5817133333333335,0.015896666666666448
1687,2018-07-06 03:30:00,2.4668200000000002,7,4,0,4.3647,0.9124999999999999,2.5163183333333334,0.04949833333333342
1688,2018-07-06 04:00:00,2.523396666666667,8,4,0,4.3969,0.9046999999999998,2.4951083333333335,0.02828833333333347
1689,2018-07-06 04:30:00,2.5375733333333335,9,4,0,4.53075,0.83545,2.5304850000000005,0.007088333333333141
1690,2018-07-06 05:00:00,2.49528,10,4,0,5.30765,0.9202500000000002,2.516426666666667,0.021146666666666647
1691,2018-07-06 05:30:00,2.413323333333333,11,4,0,5.10825,0.9640499999999999,2.454301666666667,0.04097833333333356
1692,2018-07-06 06:00:00,2.7439066666666663,12,4,0,4.3824499999999995,0.9683499999999998,2.5786149999999997,0.16529166666666661
1693,2018-07-06 06:30:00,2.771556666666667,13,4,0,4.8915500000000005,1.4926499999999998,2.7577316666666665,0.01382500000000042
1694,2018-07-06 07:00:00,2.7727766666666662,14,4,0,4.9795,1.3373999999999997,2.7721666666666667,0.0006099999999995553
1695,2018-07-06 07:30:00,2.8042266666666666,15,4,0,5.638,1.3891,2.7885016666666664,0.01572500000000021
1696,2018-07-06 08:00:00,2.6171599999999997,16,4,0,5.207,1.4330999999999996,2.7106933333333334,0.09353333333333347
1697,2018-07-06 08:30:00,2.7507800000000002,17,4,0,4.7284,1.4423999999999997,2.68397,0.06681000000000026
1698,2018-07-06 09:00:00,2.9335866666666663,18,4,0,4.753,1.4713999999999996,2.8421833333333333,0.09140333333333306
1699,2018-07-06 09:30:00,3.04755,19,4,0,5.2707999999999995,1.5292,2.990568333333333,0.05698166666666693
1700,2018-07-06 10:00:00,3.4904999999999995,20,4,0,5.699249999999999,1.5334499999999998,3.269025,0.22147499999999964
1701,2018-07-06 10:30:00,3.83546,21,4,0,5.2009,1.5114999999999998,3.6629799999999997,0.1724800000000002
1702,2018-07-06 11:00:00,3.984413333333334,22,4,0,4.81855,1.5404499999999999,3.909936666666667,0.07447666666666697
1703,2018-07-06 11:30:00,3.654586666666667,23,4,0,4.822,1.5146,3.8195000000000006,0.16491333333333347
1704,2018-07-06 12:00:00,3.2016333333333336,24,4,0,5.44195,1.43465,3.42811,0.22647666666666666
1705,2018-07-06 12:30:00,3.4181199999999996,25,4,0,5.640649999999999,1.36185,3.309876666666667,0.10824333333333302
1706,2018-07-06 13:00:00,3.4527599999999996,26,4,0,4.8092,1.4950999999999999,3.43544,0.017320000000000002
1707,2018-07-06 13:30:00,3.4109766666666657,27,4,0,4.5977,1.525,3.4318683333333326,0.020891666666666975
1708,2018-07-06 14:00:00,3.946236666666667,28,4,0,4.601,1.5267999999999997,3.678606666666666,0.2676300000000007
1709,2018-07-06 14:30:00,3.87949,29,4,0,5.43285,1.5011499999999995,3.9128633333333336,0.03337333333333348
1710,2018-07-06 15:00:00,3.964166666666666,30,4,0,5.4815499999999995,1.5336499999999995,3.921828333333333,0.04233833333333292
1711,2018-07-06 15:30:00,4.245586666666666,31,4,0,4.7452,1.6098999999999997,4.104876666666666,0.1407100000000001
1712,2018-07-06 16:00:00,3.5918633333333334,32,4,0,4.6183499999999995,1.5213499999999998,3.918725,0.3268616666666664
1713,2018-07-06 16:30:00,3.4831999999999996,33,4,0,4.7062,1.4517999999999998,3.5375316666666663,0.05433166666666689
1714,2018-07-06 17:00:00,3.603986666666667,34,4,0,5.4902999999999995,1.4678,3.5435933333333334,0.06039333333333374
1715,2018-07-06 17:30:00,3.41495,35,4,0,5.43295,1.61285,3.5094683333333334,0.09451833333333348
1716,2018-07-06 18:00:00,3.2962800000000008,36,4,0,4.7494499999999995,1.5816499999999996,3.3556150000000002,0.059334999999999694
1717,2018-07-06 18:30:00,3.472556666666667,37,4,0,4.6716999999999995,1.5060999999999998,3.384418333333334,0.08813833333333321
1718,2018-07-06 19:00:00,4.062213333333333,38,4,0,4.45465,1.11355,3.767385,0.294828333333333
1719,2018-07-06 19:30:00,3.8380199999999998,39,4,0,4.89995,0.9698499999999999,3.9501166666666663,0.11209666666666673
1720,2018-07-06 20:00:00,3.8070700000000004,40,4,0,4.66135,1.2744499999999996,3.822545,0.015474999999999683
1721,2018-07-06 20:30:00,4.09972,41,4,0,4.0474,1.0197999999999998,3.953395,0.1463249999999996
1722,2018-07-06 21:00:00,4.2525666666666675,42,4,0,3.91955,0.9463499999999998,4.176143333333334,0.07642333333333395
1723,2018-07-06 21:30:00,3.3658033333333335,43,4,0,4.16,0.5671999999999999,3.8091850000000003,0.443381666666667
1724,2018-07-06 22:00:00,2.98816,44,4,0,4.692399999999999,0.8676999999999997,3.176981666666667,0.18882166666666667
1725,2018-07-06 22:30:00,2.8742533333333333,45,4,0,4.2774,1.2421999999999997,2.9312066666666667,0.05695333333333341
1726,2018-07-06 23:00:00,3.014776666666667,46,4,0,3.8791,0.8507999999999998,2.944515,0.07026166666666689
1727,2018-07-06 23:30:00,3.6715000000000004,47,4,0,4.71235,0.017450000000000188,3.343138333333334,0.32836166666666666
1728,2018-07-07 00:00:00,3.2164400000000004,0,5,1,5.52735,0.6260499999999998,3.44397,0.22753
1729,2018-07-07 00:30:00,3.0613,1,5,1,5.880699999999999,0.21080000000000032,3.1388700000000003,0.07757000000000014
1730,2018-07-07 01:00:00,3.0284966666666673,2,5,1,5.232099999999999,0.026899999999999924,3.0448983333333337,0.016401666666666426
1731,2018-07-07 01:30:00,2.7896000000000005,3,5,1,4.987399999999999,0.2697999999999996,2.9090483333333337,0.11944833333333338
1732,2018-07-07 02:00:00,2.843746666666667,4,5,1,4.97075,0.3017500000000002,2.816673333333334,0.027073333333333283
1733,2018-07-07 02:30:00,3.3844033333333337,5,5,1,5.66615,0.49675,3.1140750000000006,0.2703283333333333
1734,2018-07-07 03:00:00,3.306023333333334,6,5,1,5.7719499999999995,0.2660499999999999,3.3452133333333336,0.039189999999999836
1735,2018-07-07 03:30:00,3.3630333333333335,7,5,1,5.14555,0.13165000000000004,3.334528333333334,0.02850499999999978
1736,2018-07-07 04:00:00,3.4979066666666667,8,5,1,5.0322,0.2694000000000001,3.43047,0.06743666666666659
1737,2018-07-07 04:30:00,3.2421599999999997,9,5,1,5.06615,0.30005000000000015,3.370033333333333,0.1278733333333335
1738,2018-07-07 05:00:00,3.3074033333333337,10,5,1,5.7733,0.4546000000000001,3.2747816666666667,0.03262166666666699
1739,2018-07-07 05:30:00,3.0809466666666667,11,5,1,5.84835,0.22394999999999987,3.1941750000000004,0.11322833333333349
1740,2018-07-07 06:00:00,2.940243333333334,12,5,1,5.145949999999999,0.20484999999999998,3.0105950000000004,0.07035166666666637
1741,2018-07-07 06:30:00,3.03456,13,5,1,5.586499999999999,0.7977000000000003,2.987401666666667,0.04715833333333297
1742,2018-07-07 07:00:00,3.1603666666666665,14,5,1,5.52205,0.7948499999999998,3.0974633333333332,0.06290333333333331
1743,2018-07-07 07:30:00,2.729169999999999,15,5,1,6.2814,0.7457000000000003,2.9447683333333328,0.21559833333333378
1744,2018-07-07 08:00:00,3.21443,16,5,1,6.0059,0.6341999999999999,2.9717999999999996,0.24263000000000057
1745,2018-07-07 08:30:00,3.2977700000000003,17,5,1,5.4414,0.7294,3.2561,0.041670000000000096
1746,2018-07-07 09:00:00,3.698713333333333,18,5,1,5.410399999999999,0.8139999999999996,3.498241666666667,0.20047166666666638
1747,2018-07-07 09:30:00,4.57248,19,5,1,5.8317,0.9683000000000002,4.135596666666666,0.4368833333333333
1748,2018-07-07 10:00:00,4.86573,20,5,1,6.35955,0.8731499999999999,4.719105,0.14662500000000023
1749,2018-07-07 10:30:00,4.581929999999999,21,5,1,5.865399999999999,0.847,4.7238299999999995,0.14190000000000058
1750,2018-07-07 11:00:00,4.570723333333333,22,5,1,5.520899999999999,0.8381000000000003,4.576326666666666,0.0056033333333331825
1751,2018-07-07 11:30:00,4.609313333333333,23,5,1,5.508699999999999,0.8279000000000001,4.590018333333333,0.019295000000000062
1752,2018-07-07 12:00:00,4.74222,24,5,1,6.0393,0.8372999999999999,4.675766666666666,0.06645333333333348
1753,2018-07-07 12:30:00,4.610226666666667,25,5,1,6.257099999999999,0.7454000000000001,4.676223333333333,0.06599666666666648
1754,2018-07-07 13:00:00,5.188706666666667,26,5,1,5.55415,0.7501500000000001,4.899466666666667,0.28923999999999994
1755,2018-07-07 13:30:00,5.061293333333333,27,5,1,5.5215,0.6012000000000004,5.125,0.06370666666666658
1756,2018-07-07 14:00:00,5.090536666666665,28,5,1,5.5435,0.5842999999999998,5.075914999999999,0.014621666666665867
1757,2018-07-07 14:30:00,5.611356666666666,29,5,1,6.38205,0.5519499999999997,5.350946666666665,0.26041000000000025
1758,2018-07-07 15:00:00,5.8047733333333325,30,5,1,6.2932999999999995,0.7218999999999998,5.7080649999999995,0.0967083333333334
1759,2018-07-07 15:30:00,5.512969999999998,31,5,1,5.643549999999999,0.7115499999999999,5.658871666666665,0.14590166666666704
1760,2018-07-07 16:00:00,4.302783333333333,32,5,1,5.543699999999999,0.5960000000000001,4.907876666666666,0.6050933333333326
1761,2018-07-07 16:30:00,4.09905,33,5,1,5.68425,0.4737499999999999,4.200916666666666,0.10186666666666655
1762,2018-07-07 17:00:00,4.221103333333334,34,5,1,6.3792,0.5789,4.160076666666667,0.061026666666666785
1763,2018-07-07 17:30:00,3.8591300000000004,35,5,1,6.0973,0.9485000000000001,4.040116666666667,0.18098666666666663
1764,2018-07-07 18:00:00,4.263633333333334,36,5,1,5.6046,0.7264999999999997,4.0613816666666676,0.20225166666666672
1765,2018-07-07 18:30:00,3.6618199999999996,37,5,1,5.53735,0.64045,3.9627266666666667,0.3009066666666671
1766,2018-07-07 19:00:00,3.713413333333334,38,5,1,5.59665,0.028449999999999864,3.687616666666667,0.025796666666667134
1767,2018-07-07 19:30:00,3.6850733333333334,39,5,1,5.765499999999999,0.10429999999999984,3.6992433333333334,0.014170000000000238
1768,2018-07-07 20:00:00,4.670206666666666,40,5,1,5.422,0.5137999999999998,4.17764,0.4925666666666664
1769,2018-07-07 20:30:00,4.635086666666667,41,5,1,4.98945,0.07774999999999999,4.652646666666667,0.017559999999999576
1770,2018-07-07 21:00:00,4.037726666666667,42,5,1,4.95345,0.0875499999999998,4.336406666666667,0.29868000000000006
